time,servo_deg,door_deg,torque,speed,direction,calibrated,detecting
1783691034.1574342,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691034.2074556,-1.9928914799999995,-0.7473343049999999,74.89618659172727,40.0,1,0,0
1783691034.2577648,0.014161400000000768,0.005310525000000288,71.13296244172727,40.0,1,0,0
1783691034.3076706,2.009486280000001,0.7535573550000003,67.39172829172728,40.0,1,0,0
1783691034.3575227,4.007222120000001,1.5027082950000001,63.64597359172728,40.0,1,0,0
1783691034.4076948,6.011643320000001,2.2543662450000004,59.88768384172728,40.0,1,0,0
1783691034.4576013,8.008278440000002,3.0031044150000006,56.14399299172727,40.0,1,0,0
1783691034.5074325,10.005595240000002,3.7520982150000006,52.399023991727276,40.0,1,0,0
1783691034.5574625,12.006242120000001,4.502340795,48.64781109172728,40.0,1,0,0
1783691034.6074972,14.006886240000002,5.252582340000001,44.89660336672727,40.0,1,0,0
1783691034.6574597,16.004884680000004,6.001831755000001,41.15035629172727,40.0,1,0,0
1783691034.707459,18.006330600000005,6.752373975000002,10.0,40.0,1,0,0
1783691034.7575183,20.006329360000006,7.502373510000002,10.0,40.0,1,0,0
1783691034.8074863,22.007001400000007,8.252625525000003,10.0,40.0,1,0,0
1783691034.8575394,24.007279520000008,9.002729820000003,10.0,40.0,1,0,0
1783691034.9076903,26.00959704000001,9.753598890000003,10.0,40.0,1,0,0
1783691034.9574137,28.00503088000001,10.501886580000004,10.0,40.0,1,0,0
1783691035.0075314,30.007563520000012,11.252836320000004,10.0,40.0,1,0,0
1783691035.0580409,32.01789340000001,12.006710025000004,10.0,40.0,1,0,0
1783691035.107566,34.006532960000015,12.752449860000006,10.0,40.0,1,0,0
1783691035.1574802,36.00583888000001,13.502189580000005,10.0,40.0,1,0,0
1783691035.2075522,38.00768148000002,14.252880555000006,10.0,40.0,1,0,0
1783691035.2578588,40.01275080000001,15.004781550000004,10.0,40.0,1,0,0
1783691035.3074179,42.004860160000014,15.751822560000004,10.0,40.0,1,0,0
1783691035.357757,44.01160012000001,16.504350045000002,10.0,40.0,1,0,0
1783691035.407631,46.008472720000015,17.253177270000005,10.0,40.0,1,0,0
1783691035.457642,48.00822564000001,18.003084615000006,10.0,40.0,1,0,0
1783691035.5076418,50.00881944000001,18.753307290000002,10.0,40.0,1,0,0
1783691035.5575898,52.01001672000001,19.503756270000004,10.0,40.0,1,0,0
1783691035.607401,54.00474372000001,20.251778895,10.0,40.0,1,0,0
1783691035.6574268,56.00570632000001,21.002139870000004,10.0,40.0,1,0,0
1783691035.7075953,58.00631132000001,21.752366745000003,10.0,40.0,1,0,0
1783691035.7575152,60.00611732000001,22.502293995000002,10.0,40.0,1,0,0
1783691035.8074749,62.00560480000001,23.252101800000002,10.0,40.0,1,0,0
1783691035.8575957,64.00629084,24.002359065,10.0,40.0,1,0,0
1783691035.9074132,66.00445132,24.751669245000002,10.0,40.0,1,0,0
1783691035.9574673,68.00594752,25.502230320000002,10.0,40.0,1,0,0
1783691036.0074706,70.00596024000001,26.252235090000003,10.0,40.0,1,0,0
1783691036.0575385,72.00678872,27.00254577,10.0,40.0,1,0,0
1783691036.1076887,74.00930184,27.753488190000002,10.0,40.0,1,0,0
1783691036.1574233,76.00372716000001,28.501397685000004,10.0,40.0,1,0,0
1783691036.2075748,78.00918480000001,29.253444300000005,10.0,40.0,1,0,0
1783691036.2574875,80.00611048000002,30.002291430000007,10.0,40.0,1,0,0
1783691036.3075852,82.00908176000002,30.753405660000006,10.0,40.0,1,0,0
1783691036.3575609,84.00811388000001,31.503042705000006,10.0,40.0,1,0,0
1783691036.4076538,86.00896196000001,32.253360735,41.811165276443845,40.0,1,0,0
1783691036.4574893,88.00666148,33.002498055000004,45.55685187644386,40.0,1,0,0
1783691036.5074337,90.00479404000001,33.751797765000006,49.30335042644387,40.0,1,0,0
1783691036.557424,92.00503308,34.501887405000005,53.053798626443864,40.0,1,0,0
1783691036.6077967,94.01643576000001,35.25616341,56.825178651443835,40.0,1,0,0
1783691036.6574888,96.00718732000001,36.002695245000005,60.557837826443865,40.0,1,0,0
